2023-06-10 07:45:15.614092 Epoch [000/025], Step [0060/0132], [lateral-3: 1.3008], [lateral-2: 1.3878], [lateral-1: 1.4860], [edge: 0.9063]
2023-06-10 07:45:40.473959 Epoch [000/025], Step [0120/0132], [lateral-3: 1.2204], [lateral-2: 1.3073], [lateral-1: 1.4143], [edge: 0.8877]
2023-06-10 07:45:57.284458 Epoch [000/025], Step [0132/0132], [lateral-3: 1.2107], [lateral-2: 1.2972], [lateral-1: 1.4051], [edge: 0.8855]
2023-06-10 07:46:23.167042 Epoch [001/025], Step [0060/0132], [lateral-3: 1.0930], [lateral-2: 1.1697], [lateral-1: 1.2910], [edge: 0.8453]
2023-06-10 07:46:48.044452 Epoch [001/025], Step [0120/0132], [lateral-3: 1.0849], [lateral-2: 1.1561], [lateral-1: 1.2763], [edge: 0.8421]
2023-06-10 07:46:52.775639 Epoch [001/025], Step [0132/0132], [lateral-3: 1.0832], [lateral-2: 1.1535], [lateral-1: 1.2735], [edge: 0.8424]
2023-06-10 07:47:18.389215 Epoch [002/025], Step [0060/0132], [lateral-3: 1.0596], [lateral-2: 1.1160], [lateral-1: 1.2309], [edge: 0.8266]
2023-06-10 07:47:43.289788 Epoch [002/025], Step [0120/0132], [lateral-3: 1.0550], [lateral-2: 1.1082], [lateral-1: 1.2204], [edge: 0.8236]
2023-06-10 07:47:48.021698 Epoch [002/025], Step [0132/0132], [lateral-3: 1.0541], [lateral-2: 1.1067], [lateral-1: 1.2183], [edge: 0.8251]
2023-06-10 07:48:13.801314 Epoch [003/025], Step [0060/0132], [lateral-3: 1.0384], [lateral-2: 1.0835], [lateral-1: 1.1863], [edge: 0.8030]
2023-06-10 07:48:38.691196 Epoch [003/025], Step [0120/0132], [lateral-3: 1.0372], [lateral-2: 1.0795], [lateral-1: 1.1787], [edge: 0.8093]
2023-06-10 07:48:43.420608 Epoch [003/025], Step [0132/0132], [lateral-3: 1.0374], [lateral-2: 1.0791], [lateral-1: 1.1774], [edge: 0.8079]
2023-06-10 07:49:09.193605 Epoch [004/025], Step [0060/0132], [lateral-3: 1.0270], [lateral-2: 1.0635], [lateral-1: 1.1521], [edge: 0.7961]
2023-06-10 07:49:34.250777 Epoch [004/025], Step [0120/0132], [lateral-3: 1.0245], [lateral-2: 1.0596], [lateral-1: 1.1456], [edge: 0.7888]
2023-06-10 07:49:38.977423 Epoch [004/025], Step [0132/0132], [lateral-3: 1.0242], [lateral-2: 1.0589], [lateral-1: 1.1445], [edge: 0.7920]
[Saving Snapshot:]checkpoints/BGNet_try1/BGNet-4.pth
2023-06-10 07:50:05.669224 Epoch [005/025], Step [0060/0132], [lateral-3: 1.0168], [lateral-2: 1.0478], [lateral-1: 1.1256], [edge: 0.7946]
2023-06-10 07:50:30.583893 Epoch [005/025], Step [0120/0132], [lateral-3: 1.0131], [lateral-2: 1.0434], [lateral-1: 1.1197], [edge: 0.7831]
2023-06-10 07:50:35.316703 Epoch [005/025], Step [0132/0132], [lateral-3: 1.0133], [lateral-2: 1.0431], [lateral-1: 1.1189], [edge: 0.7811]
2023-06-10 07:51:01.151126 Epoch [006/025], Step [0060/0132], [lateral-3: 1.0052], [lateral-2: 1.0323], [lateral-1: 1.1028], [edge: 0.7575]
2023-06-10 07:51:26.064050 Epoch [006/025], Step [0120/0132], [lateral-3: 1.0035], [lateral-2: 1.0297], [lateral-1: 1.0988], [edge: 0.7655]
2023-06-10 07:51:30.788240 Epoch [006/025], Step [0132/0132], [lateral-3: 1.0036], [lateral-2: 1.0295], [lateral-1: 1.0982], [edge: 0.7671]
2023-06-10 07:51:56.536690 Epoch [007/025], Step [0060/0132], [lateral-3: 0.9924], [lateral-2: 1.0176], [lateral-1: 1.0836], [edge: 0.7478]
2023-06-10 07:52:21.463848 Epoch [007/025], Step [0120/0132], [lateral-3: 0.9942], [lateral-2: 1.0176], [lateral-1: 1.0813], [edge: 0.7570]
2023-06-10 07:52:26.196838 Epoch [007/025], Step [0132/0132], [lateral-3: 0.9941], [lateral-2: 1.0172], [lateral-1: 1.0807], [edge: 0.7565]
2023-06-10 07:52:51.984605 Epoch [008/025], Step [0060/0132], [lateral-3: 1.0019], [lateral-2: 1.0201], [lateral-1: 1.0761], [edge: 0.7624]
2023-06-10 07:53:16.901314 Epoch [008/025], Step [0120/0132], [lateral-3: 1.0090], [lateral-2: 1.0242], [lateral-1: 1.0765], [edge: 0.7459]
2023-06-10 07:53:21.626928 Epoch [008/025], Step [0132/0132], [lateral-3: 1.0097], [lateral-2: 1.0244], [lateral-1: 1.0763], [edge: 0.7391]
2023-06-10 07:53:47.313278 Epoch [009/025], Step [0060/0132], [lateral-3: 1.0132], [lateral-2: 1.0241], [lateral-1: 1.0705], [edge: 0.6978]
2023-06-10 07:54:12.217501 Epoch [009/025], Step [0120/0132], [lateral-3: 1.0172], [lateral-2: 1.0269], [lateral-1: 1.0710], [edge: 0.6927]
2023-06-10 07:54:16.953865 Epoch [009/025], Step [0132/0132], [lateral-3: 1.0167], [lateral-2: 1.0264], [lateral-1: 1.0705], [edge: 0.6897]
[Saving Snapshot:]checkpoints/BGNet_try1/BGNet-9.pth
2023-06-10 07:54:43.687623 Epoch [010/025], Step [0060/0132], [lateral-3: 1.0162], [lateral-2: 1.0242], [lateral-1: 1.0648], [edge: 0.6445]
