2023-06-12 02:49:03.094927 Epoch [000/025], Step [0060/0132], [lateral-3: 1.3078], [lateral-2: 1.4097], [lateral-1: 1.4368], [edge: 0.8977]
2023-06-12 02:50:24.558294 Epoch [000/025], Step [0120/0132], [lateral-3: 1.2250], [lateral-2: 1.3289], [lateral-1: 1.3767], [edge: 0.8787]
2023-06-12 02:50:57.132445 Epoch [000/025], Step [0132/0132], [lateral-3: 1.2147], [lateral-2: 1.3186], [lateral-1: 1.3685], [edge: 0.8767]
2023-06-12 02:52:19.380267 Epoch [001/025], Step [0060/0132], [lateral-3: 1.0953], [lateral-2: 1.1928], [lateral-1: 1.2640], [edge: 0.8412]
2023-06-12 02:53:40.769285 Epoch [001/025], Step [0120/0132], [lateral-3: 1.0867], [lateral-2: 1.1786], [lateral-1: 1.2496], [edge: 0.8386]
2023-06-12 02:53:56.246841 Epoch [001/025], Step [0132/0132], [lateral-3: 1.0850], [lateral-2: 1.1759], [lateral-1: 1.2469], [edge: 0.8384]
2023-06-12 02:55:18.539200 Epoch [002/025], Step [0060/0132], [lateral-3: 1.0581], [lateral-2: 1.1340], [lateral-1: 1.2055], [edge: 0.8219]
2023-06-12 02:56:39.901073 Epoch [002/025], Step [0120/0132], [lateral-3: 1.0535], [lateral-2: 1.1251], [lateral-1: 1.1958], [edge: 0.8204]
2023-06-12 02:56:55.362848 Epoch [002/025], Step [0132/0132], [lateral-3: 1.0531], [lateral-2: 1.1237], [lateral-1: 1.1940], [edge: 0.8203]
2023-06-12 02:58:17.781787 Epoch [003/025], Step [0060/0132], [lateral-3: 1.0375], [lateral-2: 1.0971], [lateral-1: 1.1649], [edge: 0.8167]
2023-06-12 02:59:39.162167 Epoch [003/025], Step [0120/0132], [lateral-3: 1.0364], [lateral-2: 1.0920], [lateral-1: 1.1580], [edge: 0.8078]
2023-06-12 02:59:54.637907 Epoch [003/025], Step [0132/0132], [lateral-3: 1.0360], [lateral-2: 1.0910], [lateral-1: 1.1568], [edge: 0.8067]
2023-06-12 03:01:16.836492 Epoch [004/025], Step [0060/0132], [lateral-3: 1.0245], [lateral-2: 1.0717], [lateral-1: 1.1340], [edge: 0.7779]
2023-06-12 03:02:38.234605 Epoch [004/025], Step [0120/0132], [lateral-3: 1.0231], [lateral-2: 1.0678], [lateral-1: 1.1289], [edge: 0.7863]
2023-06-12 03:02:53.695566 Epoch [004/025], Step [0132/0132], [lateral-3: 1.0230], [lateral-2: 1.0672], [lateral-1: 1.1280], [edge: 0.7888]
[Saving Snapshot:]checkpoints/BGNet_try5/BGNet-4.pth
2023-06-12 03:04:16.738702 Epoch [005/025], Step [0060/0132], [lateral-3: 1.0104], [lateral-2: 1.0504], [lateral-1: 1.1095], [edge: 0.7666]
2023-06-12 03:05:38.153800 Epoch [005/025], Step [0120/0132], [lateral-3: 1.0112], [lateral-2: 1.0486], [lateral-1: 1.1058], [edge: 0.7745]
2023-06-12 03:05:53.619871 Epoch [005/025], Step [0132/0132], [lateral-3: 1.0117], [lateral-2: 1.0486], [lateral-1: 1.1054], [edge: 0.7747]
2023-06-12 03:07:15.921403 Epoch [006/025], Step [0060/0132], [lateral-3: 1.0042], [lateral-2: 1.0373], [lateral-1: 1.0910], [edge: 0.7665]
2023-06-12 03:08:37.343913 Epoch [006/025], Step [0120/0132], [lateral-3: 1.0008], [lateral-2: 1.0334], [lateral-1: 1.0867], [edge: 0.7604]
2023-06-12 03:08:52.821600 Epoch [006/025], Step [0132/0132], [lateral-3: 1.0000], [lateral-2: 1.0324], [lateral-1: 1.0856], [edge: 0.7597]
2023-06-12 03:10:14.965152 Epoch [007/025], Step [0060/0132], [lateral-3: 0.9920], [lateral-2: 1.0219], [lateral-1: 1.0725], [edge: 0.7533]
2023-06-12 03:11:36.307640 Epoch [007/025], Step [0120/0132], [lateral-3: 0.9915], [lateral-2: 1.0199], [lateral-1: 1.0695], [edge: 0.7479]
2023-06-12 03:11:51.811820 Epoch [007/025], Step [0132/0132], [lateral-3: 0.9915], [lateral-2: 1.0197], [lateral-1: 1.0691], [edge: 0.7515]
2023-06-12 03:13:13.974961 Epoch [008/025], Step [0060/0132], [lateral-3: 0.9892], [lateral-2: 1.0143], [lateral-1: 1.0606], [edge: 0.7295]
2023-06-12 03:14:35.395236 Epoch [008/025], Step [0120/0132], [lateral-3: 0.9965], [lateral-2: 1.0186], [lateral-1: 1.0617], [edge: 0.7496]
2023-06-12 03:14:50.851720 Epoch [008/025], Step [0132/0132], [lateral-3: 0.9978], [lateral-2: 1.0192], [lateral-1: 1.0618], [edge: 0.7560]
