2023-06-12 07:35:47.062388 Epoch [012/025], Step [0120/0132], [lateral-3: 1.0011], [lateral-2: 1.0096], [lateral-1: 1.0376], [edge: 0.5518]
2023-06-12 07:36:02.209010 Epoch [012/025], Step [0132/0132], [lateral-3: 1.0020], [lateral-2: 1.0104], [lateral-1: 1.0380], [edge: 0.5526]
2023-06-12 07:37:22.915331 Epoch [013/025], Step [0060/0132], [lateral-3: 0.9943], [lateral-2: 1.0025], [lateral-1: 1.0301], [edge: 0.5055]
2023-06-12 07:38:42.796839 Epoch [013/025], Step [0120/0132], [lateral-3: 0.9944], [lateral-2: 1.0023], [lateral-1: 1.0291], [edge: 0.4850]
2023-06-12 07:38:57.984732 Epoch [013/025], Step [0132/0132], [lateral-3: 0.9953], [lateral-2: 1.0031], [lateral-1: 1.0296], [edge: 0.4823]
2023-06-12 07:40:18.654455 Epoch [014/025], Step [0060/0132], [lateral-3: 0.9864], [lateral-2: 0.9938], [lateral-1: 1.0206], [edge: 0.4764]
2023-06-12 07:41:38.627514 Epoch [014/025], Step [0120/0132], [lateral-3: 0.9868], [lateral-2: 0.9935], [lateral-1: 1.0196], [edge: 0.4810]
2023-06-12 07:41:53.843821 Epoch [014/025], Step [0132/0132], [lateral-3: 0.9865], [lateral-2: 0.9932], [lateral-1: 1.0193], [edge: 0.4786]
[Saving Snapshot:]checkpoints/BGNet_try5.1/BGNet-14.pth
2023-06-12 07:43:15.542118 Epoch [015/025], Step [0060/0132], [lateral-3: 0.9805], [lateral-2: 0.9867], [lateral-1: 1.0125], [edge: 0.4739]
2023-06-12 07:44:35.390949 Epoch [015/025], Step [0120/0132], [lateral-3: 0.9778], [lateral-2: 0.9838], [lateral-1: 1.0097], [edge: 0.4806]
2023-06-12 07:44:50.577633 Epoch [015/025], Step [0132/0132], [lateral-3: 0.9779], [lateral-2: 0.9838], [lateral-1: 1.0097], [edge: 0.4794]
2023-06-12 07:46:11.460455 Epoch [016/025], Step [0060/0132], [lateral-3: 0.9708], [lateral-2: 0.9759], [lateral-1: 1.0018], [edge: 0.4737]
2023-06-12 07:47:31.350905 Epoch [016/025], Step [0120/0132], [lateral-3: 0.9715], [lateral-2: 0.9763], [lateral-1: 1.0017], [edge: 0.4824]
2023-06-12 07:47:46.514172 Epoch [016/025], Step [0132/0132], [lateral-3: 0.9715], [lateral-2: 0.9763], [lateral-1: 1.0015], [edge: 0.4791]
2023-06-12 07:49:07.144293 Epoch [017/025], Step [0060/0132], [lateral-3: 0.9657], [lateral-2: 0.9700], [lateral-1: 0.9949], [edge: 0.4673]
2023-06-12 07:50:27.130123 Epoch [017/025], Step [0120/0132], [lateral-3: 0.9657], [lateral-2: 0.9695], [lateral-1: 0.9944], [edge: 0.4787]
2023-06-12 07:50:42.325478 Epoch [017/025], Step [0132/0132], [lateral-3: 0.9659], [lateral-2: 0.9697], [lateral-1: 0.9944], [edge: 0.4789]
2023-06-12 07:52:02.923704 Epoch [018/025], Step [0060/0132], [lateral-3: 0.9592], [lateral-2: 0.9618], [lateral-1: 0.9865], [edge: 0.4765]
2023-06-12 07:53:22.944939 Epoch [018/025], Step [0120/0132], [lateral-3: 0.9600], [lateral-2: 0.9625], [lateral-1: 0.9870], [edge: 0.4863]
2023-06-12 07:53:38.146942 Epoch [018/025], Step [0132/0132], [lateral-3: 0.9606], [lateral-2: 0.9632], [lateral-1: 0.9875], [edge: 0.4778]
2023-06-12 07:54:58.788687 Epoch [019/025], Step [0060/0132], [lateral-3: 0.9584], [lateral-2: 0.9604], [lateral-1: 0.9845], [edge: 0.4619]
2023-06-12 07:56:18.689995 Epoch [019/025], Step [0120/0132], [lateral-3: 0.9570], [lateral-2: 0.9586], [lateral-1: 0.9824], [edge: 0.4759]
2023-06-12 07:56:33.882474 Epoch [019/025], Step [0132/0132], [lateral-3: 0.9566], [lateral-2: 0.9582], [lateral-1: 0.9820], [edge: 0.4788]
[Saving Snapshot:]checkpoints/BGNet_try5.1/BGNet-19.pth
2023-06-12 07:57:55.526925 Epoch [020/025], Step [0060/0132], [lateral-3: 0.9543], [lateral-2: 0.9554], [lateral-1: 0.9790], [edge: 0.4566]
2023-06-12 07:59:15.231720 Epoch [020/025], Step [0120/0132], [lateral-3: 0.9519], [lateral-2: 0.9527], [lateral-1: 0.9764], [edge: 0.4779]
2023-06-12 07:59:30.383372 Epoch [020/025], Step [0132/0132], [lateral-3: 0.9521], [lateral-2: 0.9529], [lateral-1: 0.9764], [edge: 0.4797]
2023-06-12 08:00:51.085943 Epoch [021/025], Step [0060/0132], [lateral-3: 0.9454], [lateral-2: 0.9458], [lateral-1: 0.9698], [edge: 0.4929]
2023-06-12 08:02:10.877955 Epoch [021/025], Step [0120/0132], [lateral-3: 0.9489], [lateral-2: 0.9492], [lateral-1: 0.9725], [edge: 0.4773]
2023-06-12 08:02:26.057492 Epoch [021/025], Step [0132/0132], [lateral-3: 0.9493], [lateral-2: 0.9495], [lateral-1: 0.9725], [edge: 0.4797]
2023-06-12 08:03:46.589764 Epoch [022/025], Step [0060/0132], [lateral-3: 0.9473], [lateral-2: 0.9469], [lateral-1: 0.9700], [edge: 0.4888]
2023-06-12 08:05:06.545782 Epoch [022/025], Step [0120/0132], [lateral-3: 0.9468], [lateral-2: 0.9461], [lateral-1: 0.9689], [edge: 0.4830]
2023-06-12 08:05:21.718979 Epoch [022/025], Step [0132/0132], [lateral-3: 0.9476], [lateral-2: 0.9470], [lateral-1: 0.9696], [edge: 0.4786]
2023-06-12 08:06:42.385377 Epoch [023/025], Step [0060/0132], [lateral-3: 0.9420], [lateral-2: 0.9407], [lateral-1: 0.9640], [edge: 0.4991]
2023-06-12 08:08:02.380981 Epoch [023/025], Step [0120/0132], [lateral-3: 0.9451], [lateral-2: 0.9441], [lateral-1: 0.9668], [edge: 0.4799]
2023-06-12 08:08:17.541317 Epoch [023/025], Step [0132/0132], [lateral-3: 0.9455], [lateral-2: 0.9445], [lateral-1: 0.9670], [edge: 0.4786]
2023-06-12 08:09:38.313516 Epoch [024/025], Step [0060/0132], [lateral-3: 0.9436], [lateral-2: 0.9427], [lateral-1: 0.9655], [edge: 0.4794]
2023-06-12 08:10:58.040578 Epoch [024/025], Step [0120/0132], [lateral-3: 0.9437], [lateral-2: 0.9424], [lateral-1: 0.9649], [edge: 0.4809]
2023-06-12 08:11:13.228658 Epoch [024/025], Step [0132/0132], [lateral-3: 0.9438], [lateral-2: 0.9426], [lateral-1: 0.9649], [edge: 0.4796]
[Saving Snapshot:]checkpoints/BGNet_try5.1/BGNet-24.pth
