2023-06-12 02:08:18.146193 Epoch [000/025], Step [0060/0132], [lateral-3: 1.3045], [lateral-2: 1.4072], [lateral-1: 1.4367], [edge: 0.8972]
2023-06-12 02:08:42.999058 Epoch [000/025], Step [0120/0132], [lateral-3: 1.2229], [lateral-2: 1.3266], [lateral-1: 1.3763], [edge: 0.8785]
2023-06-12 02:08:59.517933 Epoch [000/025], Step [0132/0132], [lateral-3: 1.2127], [lateral-2: 1.3164], [lateral-1: 1.3680], [edge: 0.8763]
2023-06-12 02:09:25.423526 Epoch [001/025], Step [0060/0132], [lateral-3: 1.0954], [lateral-2: 1.1910], [lateral-1: 1.2620], [edge: 0.8391]
2023-06-12 02:09:50.125714 Epoch [001/025], Step [0120/0132], [lateral-3: 1.0858], [lateral-2: 1.1753], [lateral-1: 1.2460], [edge: 0.8364]
2023-06-12 02:09:54.819859 Epoch [001/025], Step [0132/0132], [lateral-3: 1.0842], [lateral-2: 1.1725], [lateral-1: 1.2432], [edge: 0.8364]
2023-06-12 02:10:20.979818 Epoch [002/025], Step [0060/0132], [lateral-3: 1.0582], [lateral-2: 1.1303], [lateral-1: 1.2009], [edge: 0.8214]
2023-06-12 02:10:45.663650 Epoch [002/025], Step [0120/0132], [lateral-3: 1.0541], [lateral-2: 1.1217], [lateral-1: 1.1914], [edge: 0.8199]
2023-06-12 02:10:50.360487 Epoch [002/025], Step [0132/0132], [lateral-3: 1.0537], [lateral-2: 1.1203], [lateral-1: 1.1898], [edge: 0.8198]
2023-06-12 02:11:16.565420 Epoch [003/025], Step [0060/0132], [lateral-3: 1.0380], [lateral-2: 1.0938], [lateral-1: 1.1615], [edge: 0.8123]
2023-06-12 02:11:41.322134 Epoch [003/025], Step [0120/0132], [lateral-3: 1.0370], [lateral-2: 1.0889], [lateral-1: 1.1550], [edge: 0.8041]
2023-06-12 02:11:46.097060 Epoch [003/025], Step [0132/0132], [lateral-3: 1.0366], [lateral-2: 1.0879], [lateral-1: 1.1537], [edge: 0.8038]
2023-06-12 02:12:12.676276 Epoch [004/025], Step [0060/0132], [lateral-3: 1.0237], [lateral-2: 1.0680], [lateral-1: 1.1310], [edge: 0.7738]
2023-06-12 02:12:37.419881 Epoch [004/025], Step [0120/0132], [lateral-3: 1.0233], [lateral-2: 1.0651], [lateral-1: 1.1264], [edge: 0.7853]
2023-06-12 02:12:42.123998 Epoch [004/025], Step [0132/0132], [lateral-3: 1.0232], [lateral-2: 1.0645], [lateral-1: 1.1255], [edge: 0.7881]
[Saving Snapshot:]checkpoints/BGNet_try4/BGNet-4.pth
2023-06-12 02:13:08.949606 Epoch [005/025], Step [0060/0132], [lateral-3: 1.0105], [lateral-2: 1.0484], [lateral-1: 1.1071], [edge: 0.7647]
2023-06-12 02:13:33.653601 Epoch [005/025], Step [0120/0132], [lateral-3: 1.0110], [lateral-2: 1.0465], [lateral-1: 1.1034], [edge: 0.7731]
2023-06-12 02:13:38.353056 Epoch [005/025], Step [0132/0132], [lateral-3: 1.0117], [lateral-2: 1.0467], [lateral-1: 1.1031], [edge: 0.7745]
2023-06-12 02:14:04.222651 Epoch [006/025], Step [0060/0132], [lateral-3: 1.0068], [lateral-2: 1.0373], [lateral-1: 1.0900], [edge: 0.7729]
2023-06-12 02:14:28.947044 Epoch [006/025], Step [0120/0132], [lateral-3: 1.0030], [lateral-2: 1.0331], [lateral-1: 1.0856], [edge: 0.7657]
2023-06-12 02:14:33.625137 Epoch [006/025], Step [0132/0132], [lateral-3: 1.0023], [lateral-2: 1.0321], [lateral-1: 1.0845], [edge: 0.7644]
2023-06-12 02:14:59.421347 Epoch [007/025], Step [0060/0132], [lateral-3: 0.9937], [lateral-2: 1.0214], [lateral-1: 1.0716], [edge: 0.7535]
2023-06-12 02:15:24.219718 Epoch [007/025], Step [0120/0132], [lateral-3: 0.9936], [lateral-2: 1.0197], [lateral-1: 1.0687], [edge: 0.7492]
2023-06-12 02:15:28.906636 Epoch [007/025], Step [0132/0132], [lateral-3: 0.9932], [lateral-2: 1.0192], [lateral-1: 1.0680], [edge: 0.7519]
2023-06-12 02:15:54.735421 Epoch [008/025], Step [0060/0132], [lateral-3: 0.9898], [lateral-2: 1.0132], [lateral-1: 1.0591], [edge: 0.7334]
2023-06-12 02:16:19.709778 Epoch [008/025], Step [0120/0132], [lateral-3: 0.9977], [lateral-2: 1.0181], [lateral-1: 1.0607], [edge: 0.7643]
2023-06-12 02:16:24.419293 Epoch [008/025], Step [0132/0132], [lateral-3: 0.9979], [lateral-2: 1.0180], [lateral-1: 1.0604], [edge: 0.7665]
2023-06-12 02:16:50.455715 Epoch [009/025], Step [0060/0132], [lateral-3: 1.0101], [lateral-2: 1.0243], [lateral-1: 1.0603], [edge: 0.7608]
2023-06-12 02:17:15.217196 Epoch [009/025], Step [0120/0132], [lateral-3: 1.0115], [lateral-2: 1.0245], [lateral-1: 1.0590], [edge: 0.7460]
2023-06-12 02:17:19.899137 Epoch [009/025], Step [0132/0132], [lateral-3: 1.0112], [lateral-2: 1.0242], [lateral-1: 1.0586], [edge: 0.7461]
[Saving Snapshot:]checkpoints/BGNet_try4/BGNet-9.pth
2023-06-12 02:17:46.666307 Epoch [010/025], Step [0060/0132], [lateral-3: 1.0087], [lateral-2: 1.0198], [lateral-1: 1.0524], [edge: 0.6520]
2023-06-12 02:18:11.782211 Epoch [010/025], Step [0120/0132], [lateral-3: 1.0111], [lateral-2: 1.0211], [lateral-1: 1.0523], [edge: 0.6035]
2023-06-12 02:18:16.481476 Epoch [010/025], Step [0132/0132], [lateral-3: 1.0118], [lateral-2: 1.0217], [lateral-1: 1.0526], [edge: 0.5966]
2023-06-12 02:18:42.126745 Epoch [011/025], Step [0060/0132], [lateral-3: 1.0122], [lateral-2: 1.0207], [lateral-1: 1.0495], [edge: 0.5209]
2023-06-12 02:19:06.882895 Epoch [011/025], Step [0120/0132], [lateral-3: 1.0138], [lateral-2: 1.0217], [lateral-1: 1.0494], [edge: 0.5206]
2023-06-12 02:19:11.565517 Epoch [011/025], Step [0132/0132], [lateral-3: 1.0137], [lateral-2: 1.0215], [lateral-1: 1.0490], [edge: 0.5207]
2023-06-12 02:19:37.413760 Epoch [012/025], Step [0060/0132], [lateral-3: 1.0111], [lateral-2: 1.0176], [lateral-1: 1.0438], [edge: 0.5296]
2023-06-12 02:20:02.113305 Epoch [012/025], Step [0120/0132], [lateral-3: 1.0110], [lateral-2: 1.0175], [lateral-1: 1.0432], [edge: 0.5048]
2023-06-12 02:20:06.791886 Epoch [012/025], Step [0132/0132], [lateral-3: 1.0117], [lateral-2: 1.0180], [lateral-1: 1.0435], [edge: 0.5045]
2023-06-12 02:20:32.534434 Epoch [013/025], Step [0060/0132], [lateral-3: 1.0045], [lateral-2: 1.0102], [lateral-1: 1.0358], [edge: 0.4982]
2023-06-12 02:20:57.291562 Epoch [013/025], Step [0120/0132], [lateral-3: 1.0038], [lateral-2: 1.0094], [lateral-1: 1.0346], [edge: 0.4809]
2023-06-12 02:21:01.972944 Epoch [013/025], Step [0132/0132], [lateral-3: 1.0047], [lateral-2: 1.0102], [lateral-1: 1.0351], [edge: 0.4786]
2023-06-12 02:21:27.942705 Epoch [014/025], Step [0060/0132], [lateral-3: 0.9961], [lateral-2: 1.0015], [lateral-1: 1.0270], [edge: 0.4758]
2023-06-12 02:21:52.662496 Epoch [014/025], Step [0120/0132], [lateral-3: 0.9986], [lateral-2: 1.0030], [lateral-1: 1.0274], [edge: 0.4805]
2023-06-12 02:21:57.342535 Epoch [014/025], Step [0132/0132], [lateral-3: 0.9984], [lateral-2: 1.0029], [lateral-1: 1.0272], [edge: 0.4781]
[Saving Snapshot:]checkpoints/BGNet_try4/BGNet-14.pth
2023-06-12 02:22:24.462847 Epoch [015/025], Step [0060/0132], [lateral-3: 0.9929], [lateral-2: 0.9967], [lateral-1: 1.0205], [edge: 0.4735]
2023-06-12 02:22:49.210009 Epoch [015/025], Step [0120/0132], [lateral-3: 0.9920], [lateral-2: 0.9955], [lateral-1: 1.0192], [edge: 0.4803]
2023-06-12 02:22:53.887446 Epoch [015/025], Step [0132/0132], [lateral-3: 0.9922], [lateral-2: 0.9957], [lateral-1: 1.0193], [edge: 0.4790]
2023-06-12 02:23:20.181889 Epoch [016/025], Step [0060/0132], [lateral-3: 0.9854], [lateral-2: 0.9885], [lateral-1: 1.0120], [edge: 0.4734]
2023-06-12 02:23:44.881154 Epoch [016/025], Step [0120/0132], [lateral-3: 0.9857], [lateral-2: 0.9884], [lateral-1: 1.0116], [edge: 0.4822]
2023-06-12 02:23:49.559797 Epoch [016/025], Step [0132/0132], [lateral-3: 0.9854], [lateral-2: 0.9881], [lateral-1: 1.0111], [edge: 0.4788]
2023-06-12 02:24:15.590151 Epoch [017/025], Step [0060/0132], [lateral-3: 0.9808], [lateral-2: 0.9826], [lateral-1: 1.0056], [edge: 0.4670]
2023-06-12 02:24:40.476704 Epoch [017/025], Step [0120/0132], [lateral-3: 0.9803], [lateral-2: 0.9821], [lateral-1: 1.0049], [edge: 0.4785]
2023-06-12 02:24:45.157316 Epoch [017/025], Step [0132/0132], [lateral-3: 0.9806], [lateral-2: 0.9824], [lateral-1: 1.0051], [edge: 0.4787]
2023-06-12 02:25:10.970916 Epoch [018/025], Step [0060/0132], [lateral-3: 0.9729], [lateral-2: 0.9735], [lateral-1: 0.9967], [edge: 0.4763]
2023-06-12 02:25:35.665013 Epoch [018/025], Step [0120/0132], [lateral-3: 0.9740], [lateral-2: 0.9743], [lateral-1: 0.9970], [edge: 0.4862]
2023-06-12 02:25:40.356267 Epoch [018/025], Step [0132/0132], [lateral-3: 0.9742], [lateral-2: 0.9746], [lateral-1: 0.9972], [edge: 0.4776]
2023-06-12 02:26:06.516567 Epoch [019/025], Step [0060/0132], [lateral-3: 0.9710], [lateral-2: 0.9709], [lateral-1: 0.9935], [edge: 0.4617]
2023-06-12 02:26:31.213697 Epoch [019/025], Step [0120/0132], [lateral-3: 0.9697], [lateral-2: 0.9693], [lateral-1: 0.9917], [edge: 0.4757]
2023-06-12 02:26:35.896867 Epoch [019/025], Step [0132/0132], [lateral-3: 0.9697], [lateral-2: 0.9692], [lateral-1: 0.9915], [edge: 0.4786]
[Saving Snapshot:]checkpoints/BGNet_try4/BGNet-19.pth
2023-06-12 02:27:03.064119 Epoch [020/025], Step [0060/0132], [lateral-3: 0.9658], [lateral-2: 0.9646], [lateral-1: 0.9870], [edge: 0.4565]
2023-06-12 02:27:27.731195 Epoch [020/025], Step [0120/0132], [lateral-3: 0.9639], [lateral-2: 0.9623], [lateral-1: 0.9848], [edge: 0.4778]
2023-06-12 02:27:32.413393 Epoch [020/025], Step [0132/0132], [lateral-3: 0.9643], [lateral-2: 0.9627], [lateral-1: 0.9849], [edge: 0.4796]
2023-06-12 02:27:58.710259 Epoch [021/025], Step [0060/0132], [lateral-3: 0.9571], [lateral-2: 0.9554], [lateral-1: 0.9782], [edge: 0.4928]
2023-06-12 02:28:23.409645 Epoch [021/025], Step [0120/0132], [lateral-3: 0.9612], [lateral-2: 0.9593], [lateral-1: 0.9814], [edge: 0.4772]
2023-06-12 02:28:28.131074 Epoch [021/025], Step [0132/0132], [lateral-3: 0.9622], [lateral-2: 0.9600], [lateral-1: 0.9818], [edge: 0.4796]
2023-06-12 02:28:54.185831 Epoch [022/025], Step [0060/0132], [lateral-3: 0.9584], [lateral-2: 0.9558], [lateral-1: 0.9780], [edge: 0.4887]
2023-06-12 02:29:18.902903 Epoch [022/025], Step [0120/0132], [lateral-3: 0.9579], [lateral-2: 0.9549], [lateral-1: 0.9767], [edge: 0.4829]
2023-06-12 02:29:23.598907 Epoch [022/025], Step [0132/0132], [lateral-3: 0.9585], [lateral-2: 0.9556], [lateral-1: 0.9773], [edge: 0.4785]
2023-06-12 02:29:49.349312 Epoch [023/025], Step [0060/0132], [lateral-3: 0.9544], [lateral-2: 0.9504], [lateral-1: 0.9725], [edge: 0.4991]
2023-06-12 02:30:14.042691 Epoch [023/025], Step [0120/0132], [lateral-3: 0.9566], [lateral-2: 0.9531], [lateral-1: 0.9748], [edge: 0.4798]
2023-06-12 02:30:18.733614 Epoch [023/025], Step [0132/0132], [lateral-3: 0.9569], [lateral-2: 0.9534], [lateral-1: 0.9749], [edge: 0.4785]
2023-06-12 02:30:44.584460 Epoch [024/025], Step [0060/0132], [lateral-3: 0.9545], [lateral-2: 0.9508], [lateral-1: 0.9727], [edge: 0.4793]
2023-06-12 02:31:09.433603 Epoch [024/025], Step [0120/0132], [lateral-3: 0.9540], [lateral-2: 0.9503], [lateral-1: 0.9720], [edge: 0.4808]
2023-06-12 02:31:14.123267 Epoch [024/025], Step [0132/0132], [lateral-3: 0.9543], [lateral-2: 0.9506], [lateral-1: 0.9722], [edge: 0.4796]
[Saving Snapshot:]checkpoints/BGNet_try4/BGNet-24.pth
